From	To	Species	Gene Name
Mdc1	240087	Mus musculus	mediator of DNA damage checkpoint 1(Mdc1)
Tgoln2	22135	Mus musculus	trans-golgi network protein 2(Tgoln2)
Erbb3	13867	Mus musculus	erb-b2 receptor tyrosine kinase 3(Erbb3)
Rpl39	67248	Mus musculus	ribosomal protein L39(Rpl39)
Ccbe1	320924	Mus musculus	collagen and calcium binding EGF domains 1(Ccbe1)
Stxbp4	20913	Mus musculus	syntaxin binding protein 4(Stxbp4)
Sv2c	75209	Mus musculus	synaptic vesicle glycoprotein 2c(Sv2c)
2610507B11Rik	72503	Mus musculus	RIKEN cDNA 2610507B11 gene(2610507B11Rik)
Rpl32	19951	Mus musculus	ribosomal protein L32(Rpl32)
Shox2	20429	Mus musculus	short stature homeobox 2(Shox2)
Pde4dip	83679	Mus musculus	phosphodiesterase 4D interacting protein (myomegalin)(Pde4dip)
Wdr86	269633	Mus musculus	WD repeat domain 86(Wdr86)
Ndst1	15531	Mus musculus	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 1(Ndst1)
Cyp4x1	81906	Mus musculus	cytochrome P450, family 4, subfamily x, polypeptide 1(Cyp4x1)
Cand2	67088	Mus musculus	cullin-associated and neddylation-dissociated 2 (putative)(Cand2)
Sult1c2	69083	Mus musculus	sulfotransferase family, cytosolic, 1C, member 2(Sult1c2)
Hpgd	15446	Mus musculus	hydroxyprostaglandin dehydrogenase 15 (NAD)(Hpgd)
Plcg1	18803	Mus musculus	phospholipase C, gamma 1(Plcg1)
Col9a3	12841	Mus musculus	collagen, type IX, alpha 3(Col9a3)
Pdxp	57028	Mus musculus	pyridoxal (pyridoxine, vitamin B6) phosphatase(Pdxp)
Frs2	327826	Mus musculus	fibroblast growth factor receptor substrate 2(Frs2)
Rpl26	19941	Mus musculus	ribosomal protein L26(Rpl26)
Smcr8	237782	Mus musculus	Smith-Magenis syndrome chromosome region, candidate 8 homolog (human)(Smcr8)
Atp6v0c-ps2	100039636	Mus musculus	ATPase, H+ transporting, lysosomal V0 subunit C, pseudogene 2(Atp6v0c-ps2)
Lgals2	107753	Mus musculus	lectin, galactose-binding, soluble 2(Lgals2)
Uggt2	66435	Mus musculus	UDP-glucose glycoprotein glucosyltransferase 2(Uggt2)
Myl4	17896	Mus musculus	myosin, light polypeptide 4(Myl4)
Gramd1b	235283	Mus musculus	GRAM domain containing 1B(Gramd1b)
Abcc1	17250	Mus musculus	ATP-binding cassette, sub-family C (CFTR/MRP), member 1(Abcc1)
Ankrd13c	433667	Mus musculus	ankyrin repeat domain 13c(Ankrd13c)
Prkcd	18753	Mus musculus	protein kinase C, delta(Prkcd)
Aasdh	231326	Mus musculus	aminoadipate-semialdehyde dehydrogenase(Aasdh)
Atf7	223922	Mus musculus	activating transcription factor 7(Atf7)
Zfp827	622675	Mus musculus	zinc finger protein 827(Zfp827)
Atf6	226641	Mus musculus	activating transcription factor 6(Atf6)
Snca	20617	Mus musculus	synuclein, alpha(Snca)
Atf4	11911	Mus musculus	activating transcription factor 4(Atf4)
Meg3	17263	Mus musculus	maternally expressed 3(Meg3)
Thy1	21838	Mus musculus	thymus cell antigen 1, theta(Thy1)
Oaz1	18245	Mus musculus	ornithine decarboxylase antizyme 1(Oaz1)
Adnp2	240442	Mus musculus	ADNP homeobox 2(Adnp2)
Glg1	20340	Mus musculus	golgi apparatus protein 1(Glg1)
Strn	268980	Mus musculus	striatin, calmodulin binding protein(Strn)
Trerf1	224829	Mus musculus	transcriptional regulating factor 1(Trerf1)
Cldn2	12738	Mus musculus	claudin 2(Cldn2)
Dcaf7	71833	Mus musculus	DDB1 and CUL4 associated factor 7(Dcaf7)
Ace	11421	Mus musculus	angiotensin I converting enzyme (peptidyl-dipeptidase A) 1(Ace)
Scoc	56367	Mus musculus	short coiled-coil protein(Scoc)
Trio	223435	Mus musculus	triple functional domain (PTPRF interacting)(Trio)
Fzd4	14366	Mus musculus	frizzled class receptor 4(Fzd4)
Baz2a	116848	Mus musculus	bromodomain adjacent to zinc finger domain, 2A(Baz2a)
Fzd6	14368	Mus musculus	frizzled class receptor 6(Fzd6)
