From	To	Species Gene_Name
Lars2	102436	Mus musculus	leucyl-tRNA synthetase, mitochondrial(Lars2)
Rn45s	100861531	Mus musculus	45S pre-ribosomal RNA(Rn45s)
Cacna1e	12290	Mus musculus	calcium channel, voltage-dependent, R type, alpha 1E subunit(Cacna1e)
Btg2	12227	Mus musculus	BTG anti-proliferation factor 2(Btg2)
Erbb4	13869	Mus musculus	erb-b2 receptor tyrosine kinase 4(Erbb4)
Syt10	54526	Mus musculus	synaptotagmin X(Syt10)
C2cd3	277939	Mus musculus	C2 calcium-dependent domain containing 3(C2cd3)
Tmem178b	434008	Mus musculus	transmembrane protein 178B(Tmem178b)
Cdkl5	382253	Mus musculus	cyclin-dependent kinase-like 5(Cdkl5)
Zbed6	667118	Mus musculus	zinc finger, BED type containing 6(Zbed6)
Gpr26	233919	Mus musculus	G protein-coupled receptor 26(Gpr26)
Zfp516	329003	Mus musculus	zinc finger protein 516(Zfp516)
Oprd1	18386	Mus musculus	opioid receptor, delta 1(Oprd1)
Kcnq3	110862	Mus musculus	potassium voltage-gated channel, subfamily Q, member 3(Kcnq3)
Epg5	100502841	Mus musculus	ectopic P-granules autophagy protein 5 homolog (C. elegans)(Epg5)
Mir6236	102465959	Mus musculus	microRNA 6236(Mir6236)
Tnr	21960	Mus musculus	tenascin R(Tnr)
Tcp11l1	320554	Mus musculus	t-complex 11 like 1(Tcp11l1)
Pdia4	12304	Mus musculus	protein disulfide isomerase associated 4(Pdia4)
Amer2	72125	Mus musculus	APC membrane recruitment 2(Amer2)
Pdzd2	68070	Mus musculus	PDZ domain containing 2(Pdzd2)
Peg3	18616	Mus musculus	paternally expressed 3(Peg3)
Dst	13518	Mus musculus	dystonin(Dst)
Tnks	21951	Mus musculus	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase(Tnks)
Vps13c	320528	Mus musculus	vacuolar protein sorting 13C(Vps13c)
Cit	12704	Mus musculus	citron(Cit)
Unc13c	208898	Mus musculus	unc-13 homolog C(Unc13c)
Gdpd5	233552	Mus musculus	glycerophosphodiester phosphodiesterase domain containing 5(Gdpd5)
Reln	19699	Mus musculus	reelin(Reln)
Gan	209239	Mus musculus	giant axonal neuropathy(Gan)
Klf12	16597	Mus musculus	Kruppel-like factor 12(Klf12)
Ahnak	66395	Mus musculus	AHNAK nucleoprotein (desmoyokin)(Ahnak)
Cep350	74081	Mus musculus	centrosomal protein 350(Cep350)
Rhobtb2	246710	Mus musculus	Rho-related BTB domain containing 2(Rhobtb2)
Sik2	235344	Mus musculus	salt inducible kinase 2(Sik2)
Lacc1	210808	Mus musculus	laccase domain containing 1(Lacc1)
Bivm	246229	Mus musculus	basic, immunoglobulin-like variable motif containing(Bivm)
Lrba	80877	Mus musculus	LPS-responsive beige-like anchor(Lrba)
Ttll4	67534	Mus musculus	tubulin tyrosine ligase-like family, member 4(Ttll4)
Gsta4	14860	Mus musculus	glutathione S-transferase, alpha 4(Gsta4)
Kcnma1	16531	Mus musculus	potassium large conductance calcium-activated channel, subfamily M, alpha member 1(Kcnma1)
Sesn3	75747	Mus musculus	sestrin 3(Sesn3)
Lpl	16956	Mus musculus	lipoprotein lipase(Lpl)
Helz	78455	Mus musculus	helicase with zinc finger domain(Helz)
